                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84084,                0.81351,                 1.1874,                0.85991,                0.82444,                0.88995,                0.69263,                 0.8385,                0.86061,                  1.193,             0.00082925,             0.00082925,             0.00082925
                     36,                0.84203,                0.88857,                 1.1838,                0.75901,                0.73675,                0.83204,                0.64533,                0.83768,                0.93859,                 1.2181,             0.00081688,             0.00081688,             0.00081688
                     37,                0.85758,                0.86614,                 1.1958,                0.80457,                0.77847,                0.87427,                0.67715,                0.80269,                0.90308,                 1.1878,              0.0008045,              0.0008045,              0.0008045
                     38,                0.80922,                 0.8228,                 1.1907,                0.88291,                0.80522,                0.90112,                0.73014,                 0.7422,                0.68755,                 1.1618,             0.00079213,             0.00079213,             0.00079213
                     39,                0.84389,                0.81671,                 1.1847,                 0.8697,                0.86719,                0.91932,                0.76535,                0.71249,                0.65193,                 1.1247,             0.00077975,             0.00077975,             0.00077975
                     40,                0.80647,                0.86047,                 1.1742,                0.83836,                0.78638,                 0.8844,                 0.7052,                0.78617,                0.75962,                 1.1661,             0.00076738,             0.00076738,             0.00076738
                     41,                0.75216,                0.76012,                 1.1335,                0.89518,                0.79622,                0.92436,                0.76887,                0.72203,                0.70279,                 1.1013,               0.000755,               0.000755,               0.000755
                     42,                  0.773,                0.72438,                 1.1305,                0.89217,                0.79706,                0.92751,                0.76193,                0.73196,                0.75751,                 1.1231,             0.00074263,             0.00074263,             0.00074263
                     43,                0.80944,                 0.7906,                 1.1672,                0.93676,                0.80912,                0.93106,                0.76264,                0.72065,                0.65757,                 1.1185,             0.00073025,             0.00073025,             0.00073025
                     44,                0.76879,                0.77222,                 1.1447,                0.80865,                0.82149,                 0.8762,                0.70117,                0.76683,                0.72859,                 1.1519,             0.00071788,             0.00071788,             0.00071788
                     45,                0.77984,                0.80166,                 1.1313,                0.81647,                0.90652,                0.93415,                 0.7615,                0.72825,                0.62985,                 1.1049,              0.0007055,              0.0007055,              0.0007055
                     46,                0.75562,                 0.7282,                 1.1178,                0.90139,                0.88491,                0.92547,                0.74396,                0.75201,                0.66802,                 1.1347,             0.00069313,             0.00069313,             0.00069313
                     47,                0.80193,                0.81282,                   1.17,                0.91339,                0.89229,                0.94603,                0.77349,                0.69349,                0.58153,                 1.0877,             0.00068075,             0.00068075,             0.00068075
                     48,                0.77613,                0.74095,                 1.1265,                0.84469,                0.86525,                 0.9189,                0.74755,                0.73951,                0.67562,                 1.1092,             0.00066838,             0.00066838,             0.00066838
                     49,                0.75191,                0.78129,                 1.1433,                0.79055,                 0.8712,                0.90404,                0.73283,                0.75071,                 0.7467,                 1.1287,               0.000656,               0.000656,               0.000656
                     50,                0.74255,                0.71421,                 1.1354,                0.80404,                0.65851,                0.81595,                0.65323,                0.72585,                 1.2656,                 1.1086,             0.00064362,             0.00064362,             0.00064362
                     51,                0.74959,                0.71445,                 1.1264,                0.86259,                0.85942,                0.93065,                0.76364,                0.73074,                0.60545,                 1.1302,             0.00063125,             0.00063125,             0.00063125
